,menuKind,menuName
199,덮밥,유산슬덮밥
200,덮밥,고추장마파덮밥
201,덮밥,대패삼겹살덮밥
202,덮밥,고추참치덮밥
203,덮밥,중화풍 호박고지덮밥
204,덮밥,닭가슴살덮밥
205,볶음밥,마늘쫑장아찌 볶음밥
206,볶음밥,맛살볶음밥
207,볶음밥,앵그리볶음밥
208,볶음밥,참치마요 볶음밥
209,볶음밥,새우볶음밥
210,볶음밥,콜리플라워 볶음밥 & 아보카도 샐러드
211,볶음밥,단호박 볶음밥
212,볶음밥,크림볶음밥
213,볶음밥,백김치볶음밥
214,볶음밥,소고기 오이볶음밥
215,볶음밥,깍두기볶음밥
216,볶음밥,치즈 불닭볶음밥
217,볶음밥,마늘종볶음밥
218,볶음밥,땡초굴소스볶음밥
219,볶음밥,통조림 햄구이& 달걀볶음밥
220,볶음밥,오곡 해물채소볶음밥
221,볶음밥,햄 볶음밥
222,볶음밥,김치볶음밥부리토
223,볶음밥,새우젓 달걀볶음밥
224,볶음밥,불고기 채소볶음밥
225,볶음밥,제육치즈 팬볶음밥
226,볶음밥,아스파라거스 전복볶음밥
227,볶음밥,중화풍 달걀볶음밥
228,볶음밥,김치당면 김밥볶음밥
229,볶음밥,베이컨버섯쌈장볶음밥
230,볶음밥,닭가슴살 카레볶음밥
231,볶음밥,양념치킨 볶음밥
232,볶음밥,창란젓볶음밥
233,볶음밥,매실장아찌볶음밥
234,볶음밥,김치볶음밥 오징어순대
235,볶음밥,김치볶음밥 돈가스롤
236,솥밥,채소 솥밥
237,솥밥,모둠버섯솥밥
238,솥밥,단호박닭고기솥밥
239,솥밥,삼치솥밥
240,솥밥,김솥밥
241,솥밥,시래기전복솥밥
242,솥밥,장어 영양솥밥
243,솥밥,묵은지 돌솥밥
244,비빔밥,강된장비빔밥
245,비빔밥,날치알 비빔밥
246,비빔밥,무생채 비빔밥
247,비빔밥,양푼비빔밥
248,비빔밥,노각생채비빔밥
249,비빔밥,돌솥비빔밥
250,비빔밥,테이크아웃 비빔밥
251,죽,간편 닭죽
252,죽,골뱅이죽
253,죽,바지락죽
254,죽,미나리채소죽
255,죽,게살치즈죽
256,죽,들깨쇠고기미역죽
257,죽,늙은 호박죽
258,죽,흑임자죽
259,죽,녹두닭안심죽
260,죽,채소멸치죽
261,죽,꽃게죽
262,죽,소고기아욱죽
263,죽,단호박타락죽
264,죽,죽순채
265,국밥,물만두 콩나물국밥
266,국밥,영양 굴국밥
267,국밥,부추굴국밥
268,국밥,오징어콩나물국밥
269,국밥,매생이국밥
270,국밥,얼갈이배추국밥
271,국밥,오징어젓콩나물국밥
272,주먹밥,베이컨달걀주먹밥
273,주먹밥,청양고추멸치볶음 주먹밥
274,주먹밥,폭탄주먹밥
275,주먹밥,할라피뇨 주먹밥
276,주먹밥,불고기대파꼬치와 주먹밥
277,주먹밥,우엉조림 현미주먹밥
278,주먹밥,무장아찌주먹밥
279,주먹밥,카레김가루주먹밥
280,주먹밥,오도독뼈 주먹밥
281,이유식,대구살시금치이유식
282,미음,바나나차조미음
283,미음,차조대추미음
284,라이스,오리튜브 카레라이스
285,라이스,데리야키고추오므라이스
286,라이스,매콤가지오므라이스
287,라이스,하이라이스 도리아
288,라이스,김치하이라이스
289,라이스,오므라이스
290,라이스,순두부카레라이스
291,라이스,카르보나라 라이스
292,라이스,라이스페이퍼 팟타이
293,초밥,게살샐러드 유부초밥
294,초밥,떠먹는 초밥
295,초밥,불고기김초밥
296,김밥,삼겹살 장아찌김밥
297,김밥,채소김밥
298,김밥,묵은지말이 참치김밥
299,김밥,햄버거 김밥
300,김밥,지단 김밥
301,김밥,돈가스 김밥 샌드위치
302,김밥,만두김밥
303,김밥,묵은지 참치김밥
304,김밥,기본김밥
305,김밥,대왕연어김밥
306,김밥,충무김밥과 오징어무침
