,food_name,view_count,food_cate,rec_season,rec_weather,rec_time
152,홈런볼,11662,9,0,2,0
153,해물볶음라면,9873,6,0,2,0
154,월병,10506,0,0,1,0
155,찹쌀경단,23710,4,0,0,0
156,냉이순두부찌개,5211,14,0,3,0
157,잡채,18947,5,0,2,0
158,생크림케이크,4295,9,0,0,0
159,까망베르치즈케이크,8907,9,0,0,0
160,시래기들깨탕,16483,1,0,1,0
161,모카쿠키,3522,0,0,2,0
162,크림치즈딸기카나페,26437,4,0,2,0
163,오징어볶음,13124,5,0,1,0
164,동태전,7093,7,0,0,0
165,꽁치김치찌개,20483,14,0,3,0
166,연근전,17270,7,0,2,0
167,모카쿠키,3871,0,0,0,0
168,초코쉬폰케이크,7119,9,0,0,0
169,케이크,1186,9,0,1,0
170,갈치조림,16061,5,0,2,0
171,밤파운드케이크,2088,9,0,2,0
172,초콜렛,4135,4,0,1,0
173,유부초밥,14847,8,0,0,0
174,코다리양념구이,24015,5,0,3,0
175,쿠키,2525,0,0,2,0
176,고구마크림치즈구이,8295,4,0,0,0
177,초코슈,3014,9,0,1,0
178,부추된장국,17800,1,0,2,0
179,초코칩쿠키,2125,0,0,2,0
180,깐풍코다리,3508,5,0,1,0
181,묵은지감자탕,19037,1,0,0,0
182,아몬드초콜렛,5353,4,0,3,0
183,딸기케이크,7327,9,0,2,0
184,부추제육볶음,11915,5,0,0,0
185,하트쿠키,1711,0,0,1,0
186,모카초코칩머핀,3167,9,0,2,0
187,무화과컵케이크,1405,9,0,2,0
188,김치오믈렛,8705,13,0,1,0
189,꽃게매운탕,9094,1,0,0,0
190,시나몬메이플쿠키,3858,0,0,3,0
191,새우버거,9709,9,0,2,0
192,충무김밥,9524,8,0,0,0
193,단호박찜케익,7950,9,0,0,0
194,연어간장조림,9669,5,0,1,0
195,햄크림파스타,5218,6,0,2,0
196,로쉐,2001,4,0,2,0
197,찐빵,21608,9,0,1,0
198,느타리버섯구이,29118,7,0,0,0
199,딸기가나슈케이크,5886,9,0,3,0
200,베이컨,8539,5,0,2,0
201,쌈밥,28593,8,0,0,0
202,순두부찌개,26757,14,0,1,0
203,식혜,52837,15,0,2,0
204,고구마야채튀김,9694,4,0,2,0
205,부대찌개,17812,14,0,2,0
206,식빵,9276,9,0,2,0
207,카스테라,10879,9,0,2,0
208,닭개장,50732,1,0,2,0
209,초코바,3542,4,0,2,0
210,떡볶이,8416,8,0,2,0
211,퍼지브라우니,29932,9,0,2,0
212,마늘바게트,5556,0,0,2,0
213,모카빵,7132,9,0,2,0
214,삼색상투과자,5939,0,0,2,0
215,캬라멜크림,3844,12,0,2,0
216,옥수수식빵,2928,9,0,2,0
217,망고레어치즈케이크,7122,9,0,2,0
218,식빵,2383,9,0,2,0
219,양념꼬막,22544,7,0,2,0
220,치킨까스카레덮밥,5851,8,0,2,0
221,케이크,2197,9,0,2,0
222,요거트스콘,7870,9,0,2,0
223,야채피클,12176,7,0,2,0
224,홍합탕,7128,1,0,2,0
225,오렌지탕수육,5321,5,0,2,0
226,와플,5241,9,0,2,0
227,떡갈비,20952,5,0,2,0
228,달래김무침,7439,7,0,2,0
229,키위바나나잼,3937,12,0,2,0
230,멸치무침,19479,7,0,2,0
231,달걀찜,19517,7,0,2,0
232,꽃게된장찌개,57214,14,0,2,0
233,오렌지닭봉구이,4091,5,0,2,0
234,햄야채키슈,3456,9,0,2,0
235,견과류파운드케익,3549,9,0,2,0
236,쿠키,3729,0,0,2,0
237,파운드케이크,1988,9,0,2,0
238,돼지고기야채볶음,12992,5,0,2,0
239,쌀가루치즈케이크,1663,9,0,2,0
240,연어계란샐러드,4814,10,0,2,0
241,해물김치볶음밥,14554,8,0,2,0
242,닭가슴살두부강정,9744,4,0,2,0
243,대구탕,9924,1,0,2,0
244,도토리묵전,18254,7,0,2,0
245,두부또띠아피자,18138,9,0,2,0
246,차돌박이된장찌개,12299,14,0,2,0
247,캬라멜와플,2002,9,0,2,0
248,사탕,10679,4,0,2,0
249,케이크,2940,9,0,2,0
250,떡케익,7208,8,0,2,0
251,코다리조림,15591,5,0,2,0
252,소고기연근전,7398,5,0,2,0
253,꼬막볶음,24127,7,0,2,0
254,호두초코칩케이크,1408,9,0,2,0
255,피낭시에,3157,9,0,2,0
256,연두부샐러드,8020,10,0,2,0
257,잉글리시머핀,9228,9,0,2,0
258,단호박머핀,3637,9,0,2,0
259,돼지고기카레불고기,5831,5,0,2,0
260,컵계란빵,52880,9,0,2,0
261,딸기견과류샐러드,9204,10,0,2,0
262,두부새우선,2951,5,0,2,0
263,캬라멜마블파운드케이크,1987,9,0,2,0
264,유자제육볶음,3552,5,0,2,0
265,제누아즈,60525,9,0,2,0
266,딸기생크림케이크,10282,9,0,2,0
267,두부명란젓찌개,18983,14,0,2,0
268,닭가슴살샐러드,22939,10,0,2,0
269,샤벳,4358,4,0,2,0
270,롤케이크,5195,9,0,2,0
271,등갈비바베큐,5644,5,0,2,0
272,열무김치,15090,3,0,2,0
273,모과차,6551,15,0,2,0
274,오렌지마들렌,2515,9,0,2,0
275,아마씨식빵,2102,9,0,2,0
276,두부샌드그라탕,7980,13,0,2,0
277,브로콜리새우볶음밥,9999,8,0,2,0
278,딸기버터케이크,7640,9,0,2,0
279,김치스파게티,18680,6,0,2,0
280,콘브레드,8861,9,0,2,0
281,닭개장,83401,1,0,2,0
282,초콜렛,7240,4,0,2,0
283,귤머핀,4622,9,0,2,0
284,굴비탕수육,3279,5,0,2,0
285,풋마늘오징어무침,18929,5,0,2,0
286,버거,2277,9,0,2,0
287,치즈케이크,4031,4,0,2,0
288,칠리참치롤,7587,8,0,2,0
289,쉬림프딸기샐러드,5203,10,0,2,0
290,귤쥬스,28971,15,0,2,0
291,초코케익,3346,9,0,2,0
292,김치볶음밥,21082,8,0,2,0
293,감귤젤리아이스바,6676,4,0,2,0
294,순대전골,20396,1,0,2,0
295,식빵,2067,9,0,2,0
296,캬라멜비스코티,1891,0,0,2,0
297,오므라이스,43084,8,0,2,0
298,닭매운탕,12309,1,0,2,0
299,등갈비바베큐,10409,13,0,2,0
300,딸기바나나크레이프,4110,9,0,2,0
301,설렁탕깍두기,51390,3,0,2,0
302,깻잎떡볶이,19283,8,0,2,0
303,녹차롤케이크,5911,9,0,2,0
304,해물볶음밥,20651,8,0,2,0
305,연유,43815,12,0,2,0
306,새우탕수,9654,5,0,2,0
307,칼국수,16811,6,0,2,0
308,상하이파스타,10388,6,0,2,0
309,양상추샌드위치,12733,9,0,2,0
310,돼지갈비찜,47124,5,0,2,0
311,김치볶음밥,41898,8,0,2,0
312,바나나머핀,3487,9,0,2,0
313,파운드,2739,9,0,2,0
314,전복죽,7849,8,0,2,0
315,계란장조림,43076,7,0,2,0
316,콩나물곤약비빔면,36982,6,0,2,0
317,짜장면,45075,6,0,2,0
318,파전병,7131,6,0,2,0
319,가토쇼콜라,2824,9,0,2,0
320,닭고기조림,22107,5,0,2,0
321,녹차팥파운드케이크,3454,9,0,2,0
322,훈제연어롤,15554,8,0,2,0
323,쑥전,17326,7,0,2,0
324,조개구이,4438,4,0,2,0
325,클램차우더스프,10208,11,0,2,0
326,칠리새우,14897,5,0,2,0
327,노오븐마늘빵,15780,9,0,2,0
328,등갈비구이,41841,5,0,2,0
329,초코칩쿠키,4471,0,0,2,0
330,장미꽃쿠키,5440,0,0,2,0
331,몬테크리스토,21820,9,0,2,0
332,감자전,14663,7,0,2,0
333,시금치크림스파게티,5813,6,0,2,0
334,블루베리타르트,3660,0,0,2,0
335,탕평채,79365,7,0,2,0
336,사블레린처쿠키,2855,0,0,2,0
337,달래콩나물밥,5818,8,0,2,0
338,피넛버터머핀,2439,9,0,2,0
339,메추리알꼬치,14256,4,0,2,0
340,봉골레스파게티,8826,6,0,2,0
341,스트로베리치즈케이크,5463,9,0,2,0
342,초코브라우니,5809,9,0,2,0
343,카프레제크로와상샌드위치,11073,9,0,2,0
344,오믈렛버거,3892,9,0,2,0
345,오징어부추부침개,17878,4,0,2,0
346,커피,10513,15,0,2,0
347,쑥국,5979,1,0,2,0
348,스프링롤,70559,5,0,2,0
349,호박볶음,23632,7,0,2,0
350,해물닭찜,8949,5,0,2,0
351,바베큐립,9200,13,0,2,0
352,마늘쫑닭안심조림,4656,5,0,2,0
353,스콘,3923,9,0,2,0
354,빵푸딩,8898,4,0,2,0
355,아몬드카스테라,2049,9,0,2,0
356,초코버터케이크,4243,9,0,2,0
357,돼지목살김치찌개,50237,14,0,2,0
358,베치번즈,4393,9,0,2,0
359,꽈리고추달걀장조림,33580,7,0,2,0
360,쫄면,42326,6,0,2,0
361,어니언스프,62446,11,0,2,0
362,닭날개구이,12522,5,0,2,0
363,김치삼겹살말이,10415,5,0,2,0
364,감자계란그라탕,10344,13,0,2,0
365,닭고기야채조림,4282,5,0,2,0
366,떡볶이,63014,8,0,2,0
367,볶음우동,3652,6,0,2,0
368,롤샌드위치,110501,9,0,2,0
369,유부초밥,8393,8,0,2,0
370,모카머핀,2557,9,0,2,0
371,파스타과자,8625,0,0,2,0
372,떡볶이그라탕,8230,13,0,2,0
373,골뱅이무침,30121,5,0,2,0
374,토마토마리네이드,15116,12,0,2,0
375,티라미스,6091,9,0,2,0
376,김치볶음밥그라탕,5862,13,0,2,0
377,뮈슬리크런치쿠키,2333,0,0,2,0
378,닭가슴살양파샌드위치,16259,9,0,2,0
379,상추겉절이,32432,3,0,2,0
380,새우달래전,6466,5,0,2,0
381,딸기생크림케이크,6434,9,0,2,0
382,초콜렛,41423,4,0,2,0
383,뼈다귀감자탕,38798,1,0,2,0
384,묵은지유부초밥,15065,8,0,2,0
385,모시조개순두부탕,38234,1,0,2,0
386,바나나쨈,4175,12,0,2,0
387,허브빵,2338,9,0,2,0
388,돼지고기보쌈,9332,5,0,2,0
389,미트볼야채조림,19564,5,0,2,0
390,또띠아피자,7634,9,0,2,0
391,고추잡채,32896,5,0,2,0
392,토마토스파게티,10397,6,0,2,0
393,수플레치즈케이크,3895,9,0,2,0
394,초코쉬폰,3914,9,0,2,0
395,오렌지갈레트,3783,9,0,2,0
396,오코노미야끼,14188,4,0,2,0
397,부추전,117651,7,0,2,0
398,떡갈비,5957,5,0,2,0
399,도넛,12179,9,0,2,0
400,쿠키,3890,0,0,2,0
401,오징어토마토덮밥,5754,8,0,2,0
402,양파감자스프,19574,11,0,2,0
403,굴소스짜장볶음밥,10204,8,0,2,0
404,버섯볶음,13078,7,0,2,0
405,참깨베이글,2081,9,0,2,0
406,뚝배기달걀찜,10757,7,0,2,0
407,크림치즈머핀,3654,9,0,2,0
408,마늘쫑볶음,15477,7,0,2,0
409,굴생채,13623,7,0,2,0
410,국밥,3488,8,0,2,0
411,크랜베리버터케이크,2129,9,0,2,0
412,파스타,4605,6,0,2,0
413,쥐포볶음,20131,7,0,2,0
414,오삼불고기,4586,5,0,2,0
415,카스테라,13688,9,0,2,0
416,피망잡채,13090,5,0,2,0
417,연포탕,26072,1,0,2,0
418,소고기콩나물두부국,8769,1,0,2,0
419,고구마파이,5612,9,0,2,0
420,참치야채죽,16504,8,0,2,0
421,양송이버섯장조림,56092,7,0,2,0
422,아이스크림,7726,4,0,2,0
423,두부야채죽,17610,8,0,2,0
424,굴전,5698,7,0,2,0
425,어묵볶음,4615,7,0,2,0
426,메추리알떡갈비구이,3104,5,0,2,0
427,홍합떡국,3214,1,0,2,0
428,과일식빵카나페,8732,4,0,2,0
429,두부야채계란말이,18566,7,0,2,0
430,김치볶음밥베이컨말이,14904,8,0,2,0
431,삼각김밥볶음밥,9164,8,0,2,0
432,베이컨감자말이,10439,5,0,2,0
433,메추리알감자보트,7038,4,0,2,0
434,KFC비스킷,13883,0,0,2,0
435,마늘조림,33092,7,0,2,0
436,찹쌀도넛,10953,9,0,2,0
437,포카치아,2001,9,0,2,0
438,도토리묵,20838,7,0,2,0
439,오이볶음,80664,7,0,2,0
440,치킨카레우동,7430,6,0,2,0
441,묵은지삼겹살두루치기,52314,5,0,2,0
442,떡잡채,9952,5,0,2,0
443,과일타르트,8935,0,0,2,0
444,황태오븐구이,10388,5,0,2,0
445,궁중떡볶이,10344,8,0,2,0
446,녹차아이스크림,9670,4,0,2,0
447,해물콩나물밥,11801,8,0,2,0
448,새송이버섯라이스그라탕,6927,13,0,2,0
