food_name,view_count,food_cate,rec_season,rec_weather,rec_time
라볶이,93472,밥/죽/떡,여름,비,아침
쇼콜라,1338,빵,여름,흐림,아침
마파두부덮밥,14924,밥/죽/떡,여름,맑음,아침
깡장,20191,양념/소스/잼,여름,눈,아침
밤조림,8301,밑반찬,여름,비,아침
티라미수컵케익,7767,빵,여름,맑음,아침
닭발,89321,메인반찬,봄,맑음,아침
크로켓,5054,빵,여름,흐림,아침
초코칩케이크,2269,빵,여름,비,아침
복숭아찹쌀떡,12656,밥/죽/떡,여름,비,아침
굴무밥,5378,밥/죽/떡,여름,맑음,아침
미역국,32675,국/탕,여름,눈,아침
느타리버섯전,28814,메인반찬,여름,비,아침
마로니에,4223,과자,여름,맑음,아침
멀티그레인곡물빵,6465,빵,여름,맑음,저녁
약밥,7362,밥/죽/떡,여름,흐림,저녁
초코파운드케이크,3570,빵,봄,비,저녁
하트마카롱쿠키,9734,과자,여름,비,저녁
컵케익,6421,빵,여름,흐림,저녁
밥샌드위치,25022,밥/죽/떡,여름,맑음,저녁
견과류초콜릿,4033,과자,여름,눈,저녁
와플,5570,빵,여름,비,저녁
들깨무국,33803,국/탕,여름,맑음,저녁
연근전,13856,밑반찬,여름,맑음,저녁
참치김치전,33259,메인반찬,여름,흐림,아침
홈런볼,11662,빵,여름,비,저녁
해물볶음라면,9873,면/만두,여름,비,저녁
월병,10506,과자,여름,흐림,저녁
찹쌀경단,23710,디저트,여름,맑음,저녁
냉이순두부찌개,5211,찌개,여름,눈,저녁
잡채,18947,메인반찬,봄,비,저녁
생크림케이크,4295,빵,봄,맑음,저녁
까망베르치즈케이크,8907,빵,봄,맑음,저녁
시래기들깨탕,16483,국/탕,봄,흐림,저녁
모카쿠키,3522,과자,봄,비,저녁
크림치즈딸기카나페,26437,디저트,봄,비,저녁
오징어볶음,13124,메인반찬,봄,흐림,저녁
동태전,7093,밑반찬,여름,맑음,저녁
꽁치김치찌개,20483,찌개,여름,눈,저녁
연근전,17270,밑반찬,여름,비,저녁
모카쿠키,3871,과자,여름,맑음,저녁
초코쉬폰케이크,7119,빵,여름,맑음,저녁
케이크,1186,빵,여름,흐림,저녁
갈치조림,16061,메인반찬,여름,비,점심
밤파운드케이크,2088,빵,여름,비,점심
초콜렛,4135,디저트,여름,흐림,점심
유부초밥,14847,밥/죽/떡,여름,맑음,점심
코다리양념구이,24015,메인반찬,여름,눈,점심
쿠키,2525,과자,여름,비,점심
고구마크림치즈구이,8295,디저트,여름,맑음,점심
초코슈,3014,빵,여름,흐림,저녁
부추된장국,17800,국/탕,봄,비,저녁
초코칩쿠키,2125,과자,여름,비,저녁
깐풍코다리,3508,메인반찬,여름,흐림,저녁
묵은지감자탕,19037,국/탕,여름,맑음,저녁
아몬드초콜렛,5353,디저트,여름,눈,저녁
딸기케이크,7327,빵,여름,비,저녁
부추제육볶음,11915,메인반찬,여름,맑음,저녁
하트쿠키,1711,과자,여름,흐림,저녁
모카초코칩머핀,3167,빵,여름,비,저녁
무화과컵케이크,1405,빵,여름,비,저녁
김치오믈렛,8705,양식,여름,흐림,저녁
꽃게매운탕,9094,국/탕,여름,맑음,저녁
시나몬메이플쿠키,3858,과자,여름,눈,점심
새우버거,9709,빵,여름,비,저녁
충무김밥,9524,밥/죽/떡,여름,맑음,저녁
